,Bacteroidetes,Firmicutes,Actinobacteria,Tenericutes,Proteobacteria,Verrucomicrobia,Cyanobacteria,,,,,,,,,,,,,,,,,,,
,Violin,Bassoon,Oboe,Viola,Clarinet,Flute,Horn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
113,27.86%,64.75%,1.72%,3.86%,1.78%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
114,33.16%,49.48%,0.64%,5.34%,11.36%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
115,32.94%,55.62%,2.53%,5.64%,3.26%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
116,24.84%,58.62%,2.05%,8.05%,6.42%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
117,33.99%,46.47%,0.35%,2.68%,16.47%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
118,28.53%,55.37%,2.25%,4.22%,9.62%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
119,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
120,41.23%,49.64%,2.56%,3.17%,3.38%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
121,18.11%,70.34%,1.61%,4.61%,5.31%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
122,21.22%,64.21%,9.59%,2.81%,2.15%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
123,21.38%,64.77%,11.25%,1.27%,1.32%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
124,31.20%,60.87%,5.66%,1.13%,1.11%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
125,45.57%,46.39%,1.47%,2.75%,3.82%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
126,40.38%,54.15%,0.94%,2.19%,2.34%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
127,18.67%,70.07%,4.96%,4.62%,1.68%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
128,35.94%,55.04%,6.77%,1.88%,0.37%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
129,23.76%,64.19%,7.50%,3.27%,1.28%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
130,17.06%,72.12%,6.21%,4.38%,0.23%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
131,33.76%,55.67%,6.09%,4.28%,0.19%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
132,41.22%,52.59%,4.14%,1.31%,0.74%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
133,16.91%,68.59%,8.20%,5.57%,0.72%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
134,31.89%,57.34%,4.68%,5.17%,0.92%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
135,21.34%,67.06%,5.24%,6.17%,0.19%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
136,27.37%,62.94%,5.84%,3.37%,0.47%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
137,0.03%,2.71%,2.13%,0.02%,95.10%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
138,39.65%,53.93%,1.56%,2.92%,1.94%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
139,48.96%,45.56%,2.07%,1.93%,1.43%,0.00%,0.05%,,,,,,,,,,,,,,,,,,,
140,36.29%,55.91%,4.83%,2.20%,0.77%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
141,31.91%,54.94%,9.96%,2.83%,0.35%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
142,19.51%,70.00%,5.07%,3.09%,2.31%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
143,19.53%,63.73%,6.07%,9.19%,1.47%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
144,38.31%,54.97%,1.27%,2.80%,2.64%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
145,40.76%,54.12%,1.04%,2.32%,1.73%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
146,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
147,41.32%,52.94%,2.32%,2.39%,1.03%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
148,37.85%,55.87%,2.31%,3.56%,0.39%,0.00%,0.02%,,,,,,,,,,,,,,,,,,,
149,30.08%,60.82%,4.05%,3.03%,2.01%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
150,50.84%,44.03%,1.88%,1.87%,1.39%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
151,40.94%,53.27%,3.24%,2.00%,0.55%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
152,19.75%,68.25%,8.84%,1.73%,1.40%,0.00%,0.03%,,,,,,,,,,,,,,,,,,,
153,19.49%,67.32%,9.00%,2.66%,1.52%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
154,40.31%,49.43%,5.39%,4.13%,0.74%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
155,40.58%,51.55%,1.75%,2.61%,3.51%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
156,41.00%,52.86%,2.75%,2.34%,1.04%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
157,38.21%,55.17%,2.39%,2.25%,1.97%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
158,41.75%,52.47%,1.57%,2.21%,1.97%,0.00%,0.03%,,,,,,,,,,,,,,,,,,,
159,35.40%,53.87%,2.64%,5.41%,2.67%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
160,23.27%,61.95%,4.04%,7.07%,3.67%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
161,28.96%,57.52%,8.98%,3.41%,1.12%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
162,32.68%,54.57%,8.89%,3.16%,0.71%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
163,25.33%,63.39%,6.49%,4.04%,0.73%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
164,71.28%,23.84%,0.37%,0.61%,3.90%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
165,44.56%,48.89%,1.20%,3.73%,1.62%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
166,5.86%,76.52%,13.06%,3.12%,1.44%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
167,36.15%,54.06%,4.02%,4.59%,1.18%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
168,19.69%,61.34%,8.82%,8.46%,1.69%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
169,19.28%,62.05%,14.11%,4.12%,0.44%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
170,34.03%,54.16%,5.35%,5.88%,0.57%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
171,25.92%,57.58%,5.03%,10.07%,1.40%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
172,22.10%,63.04%,4.75%,9.16%,0.95%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
173,14.49%,67.07%,7.21%,10.86%,0.37%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
174,16.02%,73.72%,6.26%,2.98%,1.03%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
175,27.86%,58.37%,4.10%,9.16%,0.52%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
176,29.06%,52.55%,7.61%,9.94%,0.83%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
177,26.91%,60.58%,6.36%,3.22%,2.92%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
178,23.77%,60.66%,8.83%,5.69%,1.04%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
179,28.43%,53.19%,8.57%,8.75%,1.06%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
180,14.62%,62.01%,14.46%,8.64%,0.26%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
181,3.25%,66.91%,17.74%,11.33%,0.78%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
182,20.65%,61.62%,15.88%,1.66%,0.19%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
183,10.84%,65.02%,16.63%,6.76%,0.73%,0.00%,0.01%,,,,,,,,,,,,,,,,,,,
184,17.45%,62.20%,10.79%,8.93%,0.64%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
185,21.58%,65.67%,7.83%,4.67%,0.25%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
186,0.14%,68.89%,21.78%,8.31%,0.88%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
187,13.58%,66.38%,12.99%,6.45%,0.60%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
188,31.08%,57.97%,8.10%,1.96%,0.89%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
189,24.71%,64.29%,6.77%,3.72%,0.51%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
190,22.94%,65.42%,8.10%,2.68%,0.86%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
191,3.37%,70.86%,17.18%,7.29%,1.30%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
