,Bacteroidetes,Firmicutes,Actinobacteria,Tenericutes,Proteobacteria,Verrucomicrobia,Cyanobacteria,,,,,,,,,,,,,,,,,,,
,Violin,Bassoon,Oboe,Viola,Clarinet,Flute,Horn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
485,70.06%,20.44%,0.01%,0.04%,9.39%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
486,62.75%,25.79%,0.01%,0.17%,10.64%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
487,43.77%,25.66%,0.07%,0.84%,29.64%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
488,45.52%,46.09%,0.06%,1.45%,6.87%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
489,39.83%,56.65%,0.13%,1.33%,2.06%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
490,41.41%,55.44%,0.12%,1.26%,1.77%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
491,47.73%,48.81%,0.36%,1.24%,1.86%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
492,53.46%,44.03%,0.12%,1.28%,1.09%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
493,58.53%,39.64%,0.06%,0.43%,1.34%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
494,57.08%,41.61%,0.10%,1.05%,0.16%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
495,49.00%,41.11%,0.12%,6.37%,3.39%,0.01%,0.00%,,,,,,,,,,,,,,,,,,,
496,12.95%,43.39%,2.25%,12.93%,28.43%,0.04%,0.00%,,,,,,,,,,,,,,,,,,,
497,10.14%,71.98%,1.04%,15.17%,1.65%,0.01%,0.01%,,,,,,,,,,,,,,,,,,,
498,41.85%,53.11%,0.36%,2.25%,1.92%,0.45%,0.00%,,,,,,,,,,,,,,,,,,,
499,45.52%,52.50%,0.09%,0.53%,0.20%,1.16%,0.00%,,,,,,,,,,,,,,,,,,,
500,47.09%,51.88%,0.11%,0.85%,0.06%,0.01%,0.00%,,,,,,,,,,,,,,,,,,,
501,37.55%,60.99%,0.08%,1.35%,0.03%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
502,42.00%,56.77%,0.14%,0.75%,0.33%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
503,60.71%,38.10%,0.07%,0.63%,0.01%,0.48%,0.00%,,,,,,,,,,,,,,,,,,,
504,47.86%,50.75%,0.12%,0.80%,0.06%,0.42%,0.00%,,,,,,,,,,,,,,,,,,,
505,46.55%,50.82%,0.29%,0.90%,0.10%,1.33%,0.00%,,,,,,,,,,,,,,,,,,,
506,54.50%,43.14%,0.24%,0.73%,0.25%,1.00%,0.15%,,,,,,,,,,,,,,,,,,,
507,57.37%,40.71%,0.20%,0.76%,0.22%,0.73%,0.00%,,,,,,,,,,,,,,,,,,,
508,60.05%,34.77%,0.53%,0.92%,2.55%,1.10%,0.00%,,,,,,,,,,,,,,,,,,,
509,50.15%,46.55%,0.30%,1.16%,0.47%,1.37%,0.00%,,,,,,,,,,,,,,,,,,,
510,90.00%,8.31%,0.04%,0.03%,1.36%,0.27%,0.00%,,,,,,,,,,,,,,,,,,,
511,52.91%,44.49%,0.09%,2.33%,0.02%,0.16%,0.00%,,,,,,,,,,,,,,,,,,,
512,77.33%,19.87%,0.19%,0.51%,1.68%,0.42%,0.00%,,,,,,,,,,,,,,,,,,,
513,55.87%,41.57%,0.17%,1.28%,0.01%,1.11%,0.00%,,,,,,,,,,,,,,,,,,,
514,51.37%,46.54%,0.16%,1.50%,0.00%,0.43%,0.00%,,,,,,,,,,,,,,,,,,,
515,60.38%,37.43%,0.12%,1.58%,0.48%,0.01%,0.00%,,,,,,,,,,,,,,,,,,,
516,53.94%,43.36%,0.05%,1.99%,0.63%,0.02%,0.00%,,,,,,,,,,,,,,,,,,,
517,55.56%,42.74%,0.08%,1.23%,0.35%,0.05%,0.00%,,,,,,,,,,,,,,,,,,,
518,44.05%,52.17%,0.11%,2.58%,1.08%,0.01%,0.00%,,,,,,,,,,,,,,,,,,,
519,47.29%,49.16%,0.15%,2.77%,0.56%,0.05%,0.02%,,,,,,,,,,,,,,,,,,,
520,57.54%,40.82%,0.09%,1.26%,0.05%,0.23%,0.00%,,,,,,,,,,,,,,,,,,,
521,49.70%,48.09%,0.12%,1.08%,0.13%,0.86%,0.02%,,,,,,,,,,,,,,,,,,,
522,48.16%,49.42%,0.11%,1.38%,0.01%,0.93%,0.00%,,,,,,,,,,,,,,,,,,,
523,48.67%,48.61%,0.11%,1.21%,0.22%,1.18%,0.00%,,,,,,,,,,,,,,,,,,,
524,44.20%,51.30%,0.44%,2.46%,0.09%,1.50%,0.00%,,,,,,,,,,,,,,,,,,,
525,43.89%,48.88%,0.19%,1.19%,0.11%,5.73%,0.00%,,,,,,,,,,,,,,,,,,,
526,47.02%,48.14%,0.21%,1.86%,0.02%,2.75%,0.00%,,,,,,,,,,,,,,,,,,,
527,44.63%,51.47%,0.18%,1.02%,0.53%,2.17%,0.00%,,,,,,,,,,,,,,,,,,,
528,46.42%,50.25%,0.12%,2.29%,0.09%,0.83%,0.00%,,,,,,,,,,,,,,,,,,,
529,55.20%,41.15%,0.18%,1.36%,1.78%,0.24%,0.09%,,,,,,,,,,,,,,,,,,,
530,58.70%,37.73%,0.22%,1.80%,0.57%,0.99%,0.00%,,,,,,,,,,,,,,,,,,,
531,41.07%,54.42%,0.26%,2.99%,0.05%,1.21%,0.00%,,,,,,,,,,,,,,,,,,,
532,48.44%,48.19%,0.23%,1.80%,0.24%,1.11%,0.00%,,,,,,,,,,,,,,,,,,,
533,51.96%,44.94%,0.11%,1.52%,0.01%,1.45%,0.00%,,,,,,,,,,,,,,,,,,,
534,65.13%,31.62%,0.02%,0.19%,0.00%,3.04%,0.00%,,,,,,,,,,,,,,,,,,,
535,44.15%,47.35%,0.30%,5.94%,0.02%,2.24%,0.00%,,,,,,,,,,,,,,,,,,,
536,61.66%,35.28%,0.08%,1.72%,0.25%,1.01%,0.00%,,,,,,,,,,,,,,,,,,,
537,38.74%,50.14%,0.20%,7.14%,0.09%,3.71%,0.00%,,,,,,,,,,,,,,,,,,,
538,14.09%,64.35%,16.78%,4.31%,0.47%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
539,17.62%,65.88%,13.21%,2.92%,0.37%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
540,20.24%,64.25%,9.59%,5.48%,0.43%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,
541,47.17%,46.05%,0.18%,2.44%,0.25%,3.90%,0.00%,,,,,,,,,,,,,,,,,,,
542,56.84%,41.47%,0.06%,1.53%,0.08%,0.01%,0.00%,,,,,,,,,,,,,,,,,,,
543,41.79%,52.03%,0.04%,0.86%,0.02%,0.11%,5.14%,,,,,,,,,,,,,,,,,,,
544,45.93%,47.98%,0.13%,1.87%,0.34%,0.39%,3.36%,,,,,,,,,,,,,,,,,,,
545,16.59%,57.90%,16.03%,7.51%,1.18%,0.66%,0.12%,,,,,,,,,,,,,,,,,,,
546,22.11%,68.22%,5.24%,3.64%,0.64%,0.06%,0.08%,,,,,,,,,,,,,,,,,,,
