#OTU ID,Bacteria,Phylum,Class,Order,Family,Genus,Species
293409,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,
293474,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,,
293477,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
293511,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
293516,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
293546,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
293600,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
293678,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
293681,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
293780,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
293833,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,
293990,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294007,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,
294037,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294189,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294196,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
294254,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
294262,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294295,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
294302,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294353,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
294370,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294439,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
294440,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294467,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
294487,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294491,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294513,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294535,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294545,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
294548,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
294565,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
294606,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
294626,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
294639,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
294708,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294710,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
294744,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
294794,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
294834,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
294851,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
294869,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294901,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
294977,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
295004,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
295018,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
295024,Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,,Eubacteriumbiforme
295028,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
295053,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
295074,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,
295075,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
295085,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
295116,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
295144,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
295222,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
295231,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
295239,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
295304,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
295366,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
295369,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,,
295384,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
295420,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
295422,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,
295436,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
295444,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
295456,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautiaproducta
295469,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
295521,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
295527,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
295532,Bacteria,Firmicutes,Clostridia,Clostridiales,ClostridialesFamilyXIII.IncertaeSedis,,
295539,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
295574,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
295652,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
295683,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
295711,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
295754,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
295804,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
295851,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
295951,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
295953,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
295966,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
296007,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
296010,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,
296033,Bacteria,Firmicutes,Clostridia,Clostridiales,ClostridialesFamilyXIII.IncertaeSedis,,
296042,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,
296062,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
